date,user,url
26/04/21, Astitv,https://meet.google.com/cub-rktd-kuj
26/04/21, Bodybuilder,https://arxiv.org/pdf/2102.12627.pdf
26/04/21, Bodybuilder,http://erikdemaine.org/supercollaboration/
26/04/21, Bodybuilder,https://www.dropbox.com/scl/fi/m204d8wv8nqk3mm0iirzm/Untitled-4.paper?dl=0&rlkey=6feshzk29ccim7cvepdjd3850
26/04/21, Astitv,https://towardsdatascience.com/cellular-automaton-and-deep-learning-2bf7c57139b3
27/04/21, Pratham CSE MUJ,https://content.wolfram.com/uploads/sites/34/2020/07/computation-theory-cellular-automata.pdf
27/04/21, Pratham CSE MUJ,https://www.stephenwolfram.com/publications/cellular-automata-complexity/
27/04/21, Astitv,https://youtube.com/user/ZnahNah
27/04/21, Astitv,https://youtu.be/8EN_8p9Toyc
27/04/21, Pratham CSE MUJ,https://youtu.be/DKGodqDs9sA
27/04/21, Pratham CSE MUJ,https://youtube.com/playlist?list=PLRqwX-V7Uu6YrWXvEQFOGbCt6cX83Xunm
27/04/21, Astitv,https://youtu.be/TvZI6Xc0J1Y
27/04/21, Astitv,https://arxiv.org/abs/2006.12155
27/04/21, Pratham CSE MUJ,https://www.researchgate.net/publication/282249343_Cellular_Automata_And_Its_Applications_In_Modeling_And_Simulating_The_Evolution_Of_Diseases
27/04/21, Astitv,https://github.com/edemaine/coauthor/
27/04/21, Astitv,https://www.researchgate.net/publication/335632631_Cellular_automata_as_convolutional_neural_networks
27/04/21, Astitv,https://towardsdatascience.com/neural-cellular-automata-for-art-recreation-6d9fb61afb37
27/04/21, Astitv,https://www.crosslabs.org/blog/regenerating-soft-robots-through-neural-cellular-automata
27/04/21, Astitv,http://www.facweb.iitkgp.ac.in/
27/04/21, Astitv,https://users.math.yale.edu/public_html/People/frame/Fractals/CA/welcome.html
27/04/21, Bodybuilder,http://erikdemaine.org/supercollaboration/
27/04/21, Astitv,https://ia800501.us.archive.org/11/items/RBB5405/RBB5405.pdf
27/04/21, Pratham CSE MUJ,https://www.intechopen.com/books/emerging-applications-of-cellular-automata/cellular-learning-automata-and-its-applications
28/04/21, Pratham CSE MUJ,https://colab.research.google.com/github/google-research/self-organising-systems/blob/master/notebooks/growing_ca.ipynb
28/04/21, Bodybuilder,https://github.com/Slackermanz/VulkanAutomata
29/04/21, Astitv,https://link.springer.com/chapter/10.1007/978-3-642-19167-1_2
29/04/21, Astitv,https://books.google.co.in/books?hl=en&lr=&id=W0frCAAAQBAJ&oi=fnd&pg=PP7&dq=neural+cellular+automata+papers&ots=yeYOlErKI6&sig=OzjzDiKIIfMnUksPq9YV6d1SVG8
29/04/21, Astitv,https://arxiv.org/pdf/2010.04949.pdf
29/04/21, Astitv,https://arxiv.org/pdf/2006.12155.pdf
29/04/21, Bodybuilder,https://ase.tufts.edu/biology/labs/levin/
29/04/21, Bodybuilder,https://twitter.com/zzznah?s=21
29/04/21, Bodybuilder,http://kvfrans.com/stampca-conditional-neural-cellular-automata/amp/
29/04/21, Bodybuilder,https://uwe-repository.worktribe.com/output/980579
29/04/21, Bodybuilder,https://arstechnica.com/science/2020/12/how-the-humble-slime-mold-helped-physicists-map-the-cosmic-web/
29/04/21, Bodybuilder,https://arstechnica.com/science/2020/12/how-the-humble-slime-mold-helped-physicists-map-the-cosmic-web/
29/04/21, Bodybuilder,https://arxiv.org/abs/2103.08737
29/04/21, Bodybuilder,https://t.co/EgV6OdnDKZ
29/04/21, Bodybuilder,https://github.com/Mayukhdeb/differentiable-morphogenesis
29/04/21, Astitv,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6330087/
29/04/21, Bodybuilder,https://twitter.com/zzznah/status/1354876616913117186?s=21
29/04/21, Astitv,https://www.sciencedaily.com/news/computers_math/computer_science/
29/04/21, Bodybuilder,https://www.dropbox.com/scl/fi/m204d8wv8nqk3mm0iirzm/Untitled-4.paper?dl=0&rlkey=6feshzk29ccim7cvepdjd3850
30/04/21, Bodybuilder,https://www.crosslabs.org
30/04/21, Bodybuilder,https://www.youtube.com/watch?v=XVmzGW293bI
01/05/21, Pratham CSE MUJ,https://www.youtube.com/watch?v=BcLvpcEN7wc
01/05/21, Bodybuilder,https://twitter.com/bathshebasculpt/status/1380407482766491648?s=21
01/05/21, Astitv,https://beta.cent.co/rhyolight/+v2qijy
01/05/21, Pratham CSE MUJ,https://github.com/distillpub/post--growing-ca
01/05/21, Astitv,https://colab.research.google.com/github/google-research/self-organising-systems/blob/master/notebooks/growing_ca.ipynb
01/05/21, Astitv,https://github.com/makingthematrix/ca_art
01/05/21, Pratham CSE MUJ,http://www.art.net/
01/05/21, Bodybuilder,https://github.com/distillpub/post--growing-ca/blob/master/public/ca.js
01/05/21, Bodybuilder,https://distill.pub/guide/
01/05/21, Bodybuilder,https://colab.research.google.com/github/google-research/self-organising-systems/blob/master/notebooks/growing_ca.ipynb
01/05/21, Pratham CSE MUJ,https://github.com/bbusschots/bartificer_ca_js
01/05/21, Astitv,https://progur.com/2018/10/creating-generative-art-cellular.html
01/05/21, Bodybuilder,https://cloudflare-ipfs.com/ipfs/QmZTLjYR7Vcr8mVKjYCtpkroBvn91nT1Q1dgAeW16tfve9/
01/05/21, Bodybuilder,https://cloudflare-ipfs.com/ipfs/QmZTLjYR7Vcr8mVKjYCtpkroBvn91nT1Q1dgAeW16tfve9/
01/05/21, Astitv,https://www.generativehut.com/post/using-processing-for-music-visualization
01/05/21, Astitv,https://github.com/BeyondNFT/sandbox
01/05/21, Bodybuilder,https://github.com/neelts/svg-app
01/05/21, Bodybuilder,https://tarwin.medium.com/hit-et-nunc-advanced-svg-nfts-a6040262f4d5
01/05/21, Astitv,https://medium.com/@shvembldr/how-to-make-your-first-generative-art-with-p5-js-3f10afc07de2
01/05/21, Bodybuilder,https://github.com/neelts/svg-app
01/05/21, Bodybuilder,https://meet.google.com/xct-hmkw-cqn
01/05/21, Bodybuilder,https://docs.google.com/spreadsheets/d/1RA5Qicv1f4O9BJywIketrq2PqOqB0KX7cx0qUtCNwHg/edit
01/05/21, Astitv,https://colab.research.google.com/github/google-research/self-organising-systems/blob/master/notebooks/growing_ca.ipynb
01/05/21, Bodybuilder,https://colab.research.google.com/drive/1KFhAwC1Rzl8b5KY7G41qCQwKVTZKrtz6?usp=sharing
01/05/21, Bodybuilder,https://varun.ca/noise/
01/05/21, Bodybuilder,https://meet.google.com/mqi-uwuc-dtg
01/05/21, Bodybuilder,https://tarwin.medium.com/hit-et-nunc-advanced-svg-nfts-a6040262f4d5
01/05/21, Bodybuilder,https://colab.research.google.com/drive/1KFhAwC1Rzl8b5KY7G41qCQwKVTZKrtz6?usp=sharing
01/05/21, Bodybuilder,https://colab.research.google.com/drive/1KFhAwC1Rzl8b5KY7G41qCQwKVTZKrtz6?usp=sharing
01/05/21, Bodybuilder,https://github.com/neelts/svg-app
02/05/21, Astitv,https://github.com/distillpub/post--growing-ca/blob/master/public/demo.js
02/05/21, Bodybuilder,https://tarwin.medium.com/hit-et-nunc-advanced-svg-nfts-a6040262f4d5
03/05/21, Pratham CSE MUJ,https://rarible.com/
03/05/21, Pratham CSE MUJ,https://pinata.cloud/
04/05/21, Bodybuilder,https://doug2k1.github.io/javascript-camera/
05/05/21, Pratham CSE MUJ,https://github.com/bollu/cellularAutomata
07/05/21, Astitv,https://ncase.me/sim
